id,oevk_number,name,county,region,type,population,registered_voters_2022,registered_voters_2026,area_km2,geojson_feature
1,1,Budapest 01,Budapest,,budapest,,,,,
2,2,Budapest 02,Budapest,,budapest,,,,,
3,3,Budapest 03,Budapest,,budapest,,,,,
4,4,Budapest 04,Budapest,,budapest,,,,,
5,5,Budapest 05,Budapest,,budapest,,,,,
6,6,Budapest 06,Budapest,,budapest,,,,,
7,7,Budapest 07,Budapest,,budapest,,,,,
8,8,Budapest 08,Budapest,,budapest,,,,,
9,9,Budapest 09,Budapest,,budapest,,,,,
10,10,Budapest 10,Budapest,,budapest,,,,,
11,11,Budapest 11,Budapest,,budapest,,,,,
12,12,Budapest 12,Budapest,,budapest,,,,,
13,13,Budapest 13,Budapest,,budapest,,,,,
14,14,Budapest 14,Budapest,,budapest,,,,,
15,15,Budapest 15,Budapest,,budapest,,,,,
16,16,Budapest 16,Budapest,,budapest,,,,,
17,17,Bács-Kiskun 01,Bács-Kiskun,,rural,,,,,
18,18,Bács-Kiskun 02,Bács-Kiskun,,rural,,,,,
19,19,Bács-Kiskun 03,Bács-Kiskun,,rural,,,,,
20,20,Bács-Kiskun 04,Bács-Kiskun,,rural,,,,,
21,21,Bács-Kiskun 05,Bács-Kiskun,,rural,,,,,
22,22,Bács-Kiskun 06,Bács-Kiskun,,rural,,,,,
23,23,Baranya 01,Baranya,,rural,,,,,
24,24,Baranya 02,Baranya,,rural,,,,,
25,25,Baranya 03,Baranya,,rural,,,,,
26,26,Baranya 04,Baranya,,rural,,,,,
27,27,Békés 01,Békés,,rural,,,,,
28,28,Békés 02,Békés,,rural,,,,,
29,29,Békés 03,Békés,,rural,,,,,
30,30,Békés 04,Békés,,rural,,,,,
31,31,BAZ 01,Borsod-Abaúj-Zemplén,,rural,,,,,
32,32,BAZ 02,Borsod-Abaúj-Zemplén,,rural,,,,,
33,33,BAZ 03,Borsod-Abaúj-Zemplén,,rural,,,,,
34,34,BAZ 04,Borsod-Abaúj-Zemplén,,rural,,,,,
35,35,BAZ 05,Borsod-Abaúj-Zemplén,,rural,,,,,
36,36,BAZ 06,Borsod-Abaúj-Zemplén,,rural,,,,,
37,37,BAZ 07,Borsod-Abaúj-Zemplén,,rural,,,,,
38,38,Csongrád 01,Csongrád-Csanád,,rural,,,,,
39,39,Csongrád 02,Csongrád-Csanád,,rural,,,,,
40,40,Csongrád 03,Csongrád-Csanád,,rural,,,,,
41,41,Csongrád 04,Csongrád-Csanád,,rural,,,,,
42,42,Fejér 01,Fejér,,rural,,,,,
43,43,Fejér 02,Fejér,,rural,,,,,
44,44,Fejér 03,Fejér,,rural,,,,,
45,45,Fejér 04,Fejér,,rural,,,,,
46,46,Fejér 05,Fejér,,rural,,,,,
47,47,GyMS 01,Győr-Moson-Sopron,,rural,,,,,
48,48,GyMS 02,Győr-Moson-Sopron,,rural,,,,,
49,49,GyMS 03,Győr-Moson-Sopron,,rural,,,,,
50,50,GyMS 04,Győr-Moson-Sopron,,rural,,,,,
51,51,GyMS 05,Győr-Moson-Sopron,,rural,,,,,
52,52,Hajdú-Bihar 01,Hajdú-Bihar,,rural,,,,,
53,53,Hajdú-Bihar 02,Hajdú-Bihar,,rural,,,,,
54,54,Hajdú-Bihar 03,Hajdú-Bihar,,rural,,,,,
55,55,Hajdú-Bihar 04,Hajdú-Bihar,,rural,,,,,
56,56,Hajdú-Bihar 05,Hajdú-Bihar,,rural,,,,,
57,57,Hajdú-Bihar 06,Hajdú-Bihar,,rural,,,,,
58,58,Heves 01,Heves,,rural,,,,,
59,59,Heves 02,Heves,,rural,,,,,
60,60,Heves 03,Heves,,rural,,,,,
61,61,JNSz 01,Jász-Nagykun-Szolnok,,rural,,,,,
62,62,JNSz 02,Jász-Nagykun-Szolnok,,rural,,,,,
63,63,JNSz 03,Jász-Nagykun-Szolnok,,rural,,,,,
64,64,JNSz 04,Jász-Nagykun-Szolnok,,rural,,,,,
65,65,KE 01,Komárom-Esztergom,,rural,,,,,
66,66,KE 02,Komárom-Esztergom,,rural,,,,,
67,67,KE 03,Komárom-Esztergom,,rural,,,,,
68,68,Nógrád 01,Nógrád,,rural,,,,,
69,69,Nógrád 02,Nógrád,,rural,,,,,
70,70,Pest 01,Pest,,suburban,,,,,
71,71,Pest 02,Pest,,suburban,,,,,
72,72,Pest 03,Pest,,suburban,,,,,
73,73,Pest 04,Pest,,suburban,,,,,
74,74,Pest 05,Pest,,suburban,,,,,
75,75,Pest 06,Pest,,suburban,,,,,
76,76,Pest 07,Pest,,suburban,,,,,
77,77,Pest 08,Pest,,suburban,,,,,
78,78,Pest 09,Pest,,suburban,,,,,
79,79,Pest 10,Pest,,suburban,,,,,
80,80,Pest 11,Pest,,suburban,,,,,
81,81,Pest 12,Pest,,suburban,,,,,
82,82,Pest 13,Pest,,suburban,,,,,
83,83,Pest 14,Pest,,suburban,,,,,
84,84,Somogy 01,Somogy,,rural,,,,,
85,85,Somogy 02,Somogy,,rural,,,,,
86,86,Somogy 03,Somogy,,rural,,,,,
87,87,Somogy 04,Somogy,,rural,,,,,
88,88,SzSzB 01,Szabolcs-Szatmár-Bereg,,rural,,,,,
89,89,SzSzB 02,Szabolcs-Szatmár-Bereg,,rural,,,,,
90,90,SzSzB 03,Szabolcs-Szatmár-Bereg,,rural,,,,,
91,91,SzSzB 04,Szabolcs-Szatmár-Bereg,,rural,,,,,
92,92,SzSzB 05,Szabolcs-Szatmár-Bereg,,rural,,,,,
93,93,SzSzB 06,Szabolcs-Szatmár-Bereg,,rural,,,,,
94,94,Tolna 01,Tolna,,rural,,,,,
95,95,Tolna 02,Tolna,,rural,,,,,
96,96,Tolna 03,Tolna,,rural,,,,,
97,97,Vas 01,Vas,,rural,,,,,
98,98,Vas 02,Vas,,rural,,,,,
99,99,Vas 03,Vas,,rural,,,,,
100,100,Veszprém 01,Veszprém,,rural,,,,,
101,101,Veszprém 02,Veszprém,,rural,,,,,
