id,election_id,party_id,actual_seats,actual_seat_pct,proportional_seats,proportional_seat_pct,difference
1,1,1,164,42.49,113,29.27,51
2,1,2,92,23.83,98,25.39,-6
3,1,3,44,11.4,54,13.99,-10
4,1,4,33,8.55,50,12.95,-17
5,1,5,21,5.44,41,10.62,-20
6,1,6,21,5.44,30,7.77,-9
7,2,4,209,54.15,146,37.82,63
8,2,2,69,17.88,87,22.54,-18
9,2,1,38,9.84,52,13.47,-14
10,2,3,26,6.74,39,10.1,-13
11,2,6,22,5.7,31,8.03,-9
12,2,5,20,5.18,31,8.03,-11
13,3,4,134,34.72,143,37.05,-9
14,3,5,148,38.34,128,33.16,20
15,3,3,48,12.44,57,14.77,-9
16,3,2,24,6.22,33,8.55,-9
17,3,7,14,3.63,24,6.22,-10
18,4,4,178,46.11,167,43.26,11
19,4,8,188,48.7,164,42.49,24
20,4,2,19,4.92,22,5.7,-3
21,4,7,0,0.0,17,4.4,-17
22,4,9,0,0.0,16,4.15,-16
23,5,4,186,48.17,172,44.56,14
24,5,10,164,42.49,168,43.52,-4
25,5,2,18,4.66,26,6.74,-8
26,5,1,11,2.85,20,5.18,-9
27,6,10,263,68.13,212,54.92,51
28,6,4,59,15.28,77,19.95,-18
29,6,11,47,12.18,67,17.36,-20
30,6,12,16,4.15,30,7.77,-14
31,7,10,133,66.83,93,46.73,40
32,7,13,38,19.1,53,26.63,-15
33,7,11,23,11.56,42,21.11,-19
34,7,12,5,2.51,11,5.53,-6
35,8,10,133,66.83,101,50.75,32
36,8,11,26,13.07,39,19.6,-13
37,8,14,20,10.05,24,12.06,-4
38,8,12,8,4.02,14,7.04,-6
39,8,15,9,4.52,11,5.53,-2
40,8,16,0,0.0,6,3.02,-6
41,8,17,0,0.0,4,2.01,-4
42,9,10,135,67.84,110,55.28,25
43,9,18,57,28.64,70,35.18,-13
44,9,19,6,3.02,12,6.03,-6
45,9,17,0,0.0,7,3.52,-7
46,9,20,1,0.5,1,0.5,0
47,10,21,138,69.35,110,55.28,28
48,10,10,55,27.64,77,38.69,-22
49,10,19,6,3.02,12,6.03,-6
