id,election_id,party_id,list_votes,list_vote_pct,constituency_seats,list_seats,total_seats,seat_pct,vote_seat_ratio,gallagher_contribution,in_government,data_source,confidence
1,1,1,1214359,24.73,,,164,42.49,1.718156085725839,315.41760000000005,1,wikipedia,high
2,1,2,1050799,21.4,,,92,23.83,1.1135514018691588,5.904899999999999,0,wikipedia,high
3,1,3,576315,11.73,,,44,11.4,0.9718670076726342,0.10890000000000005,1,wikipedia,high
4,1,4,535064,10.89,,,33,8.55,0.7851239669421488,5.475599999999999,0,wikipedia,high
5,1,5,439649,8.95,,,21,5.44,0.6078212290502795,12.320099999999993,0,wikipedia,high
6,1,6,317278,6.46,,,21,5.44,0.8421052631578948,1.040399999999999,1,wikipedia,high
7,2,4,1781504,32.99,,,209,54.15,1.641406486814186,447.74559999999985,1,wikipedia,high
8,2,2,1065889,19.74,,,69,17.88,0.905775075987842,3.459599999999998,1,wikipedia,high
9,2,1,633770,11.74,,,38,9.84,0.838160136286201,3.610000000000001,0,wikipedia,high
10,2,3,476272,8.82,,,26,6.74,0.764172335600907,4.3264000000000005,0,wikipedia,high
11,2,6,379523,7.03,,,22,5.7,0.8108108108108109,1.7689000000000001,0,wikipedia,high
12,2,5,379344,7.02,,,20,5.18,0.7378917378917379,3.3855999999999993,0,wikipedia,high
13,3,4,1497231,32.92,,,134,34.72,1.054678007290401,3.2399999999999896,0,wikipedia,high
14,3,5,1340826,29.48,,,148,38.34,1.3005427408412484,78.49960000000006,1,wikipedia,high
15,3,3,597820,13.15,,,48,12.44,0.9460076045627376,0.5041000000000012,1,wikipedia,high
16,3,2,344352,7.57,,,24,6.22,0.821664464993395,1.8225000000000013,0,wikipedia,high
17,3,7,248901,5.47,,,14,3.63,0.6636197440585009,3.3855999999999993,0,wikipedia,high
18,4,4,2361983,42.05,,,178,46.11,1.096551724137931,16.483600000000017,1,wikipedia,high
19,4,8,2306763,41.07,,,188,48.7,1.1857803749695641,58.21690000000004,0,wikipedia,high
20,4,2,313084,5.57,,,19,4.92,0.8833034111310591,0.4225000000000005,1,wikipedia,high
21,4,7,245326,4.37,,,0,0.0,0.0,19.0969,0,wikipedia,high
22,4,9,219029,3.9,,,0,0.0,0.0,15.209999999999999,0,wikipedia,high
23,5,4,2336705,43.21,,,186,48.17,1.1147882434621617,24.60160000000001,1,wikipedia,high
24,5,10,2272979,42.03,,,164,42.49,1.0109445634070902,0.2116000000000008,0,wikipedia,high
25,5,2,351612,6.5,,,18,4.66,0.716923076923077,3.3855999999999993,1,wikipedia,high
26,5,1,272831,5.04,,,11,2.85,0.5654761904761905,4.7961,0,wikipedia,high
27,6,10,2706292,52.73,,,263,68.13,1.2920538592831405,237.15999999999997,1,wikipedia,high
28,6,4,990428,19.3,,,59,15.28,0.7917098445595855,16.16040000000001,0,wikipedia,high
29,6,11,855436,16.67,,,47,12.18,0.7306538692261547,20.160100000000018,0,wikipedia,high
30,6,12,383876,7.48,,,16,4.15,0.5548128342245989,11.0889,0,wikipedia,high
31,7,10,2264780,44.87,,,133,66.83,1.4894138622687765,482.24160000000006,1,wikipedia,high
32,7,13,1290806,25.57,,,38,19.1,0.7469691044192414,41.86089999999999,0,wikipedia,high
33,7,11,1020476,20.22,,,23,11.56,0.5717111770524234,74.99559999999997,0,wikipedia,high
34,7,12,269414,5.34,,,5,2.51,0.4700374531835206,8.0089,0,wikipedia,high
35,8,10,2824551,49.27,,,133,66.83,1.3564034909681346,308.35359999999986,1,wikipedia,high
36,8,11,1092806,19.06,,,26,13.07,0.6857292759706192,35.880099999999985,0,wikipedia,high
37,8,14,682701,11.91,,,20,10.05,0.8438287153652393,3.459599999999998,0,wikipedia,high
38,8,12,404429,7.06,,,8,4.02,0.5694050991501416,9.2416,0,wikipedia,high
39,8,15,308161,5.38,,,9,4.52,0.8401486988847583,0.7396000000000006,0,wikipedia,high
40,8,16,175229,3.06,,,0,0.0,0.0,9.3636,0,wikipedia,high
41,8,17,99414,1.73,,,0,0.0,0.0,2.9929,0,wikipedia,high
42,9,10,3060706,54.13,87,48,135,67.84,1.25327914280436,187.96410000000003,1,wikipedia,high
43,9,18,1947331,34.44,19,38,57,28.64,0.8315911730545877,33.639999999999965,0,wikipedia,high
44,9,19,332487,5.88,0,6,6,3.02,0.5136054421768708,8.179599999999999,0,wikipedia,high
45,9,17,185052,3.27,0,0,0,0.0,0.0,10.6929,0,wikipedia,high
46,9,20,24630,0.44,0,1,1,0.5,1.1363636363636365,0.0036,0,wikipedia,high
47,10,21,3011847,53.65,93,45,138,69.35,1.292637465051258,246.48999999999987,1,wikipedia,high
48,10,10,2102997,37.75,13,42,55,27.64,0.7321854304635762,102.21209999999999,0,wikipedia,high
49,10,19,328517,5.9,0,6,6,3.02,0.5118644067796609,8.294400000000001,0,wikipedia,high
